full_name,age,position,Current Club,minutes_played_overall,goals_overall,assists_overall,cards_per_90_overall,conceded_per_90_overall,min_per_match,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders
Martín Montoya,31,Defender,Brighton & Hove Albion,2166,0,1,0.17,1.58,87,294,229,128
Mason Greenwood,21,Midfielder,Manchester United,115,0,0,0.0,1.57,38,-1,-1,-1
Mason Holgate,26,Defender,Everton,407,0,0,0.22,1.99,81,414,390,160
Matěj Vydra,30,Forward,Burnley,311,1,1,0.29,1.16,24,66,23,-1
Mateo Kovačić,28,Midfielder,Chelsea,1743,0,2,0.15,0.93,54,291,150,-1
Mathew Ryan,30,Goalkeeper,Brighton & Hove Albion,3060,0,0,0.06,1.53,90,398,389,122
Mathias Jørgensen,32,Defender,Huddersfield Town,2148,3,1,0.25,1.55,90,129,235,125
Matt Butcher,25,Midfielder,AFC Bournemouth,0,0,0,0.0,0.0,0,-1,-1,-1
Matt Doherty,30,Defender,Wolverhampton Wanderers,3147,4,5,0.14,1.09,83,155,100,46
Matt Ritchie,33,Midfielder,Newcastle United,2940,2,8,0.28,1.13,82,216,46,-1
Matt Targett,27,Defender,Southampton,1185,1,3,0.15,1.82,74,183,51,151
Matteo Darmian,32,Defender,Manchester United,443,0,0,0.0,1.42,74,411,280,102
Matteo Guendouzi,23,Midfielder,Arsenal,2143,0,0,0.38,1.18,65,386,405,-1
Matthew Connolly,35,Defender,Cardiff City,0,0,0,0.0,0.0,0,-1,-1,-1
Matthew Lowton,33,Defender,Burnley,1748,0,0,0.36,1.8,83,378,342,150
Matty Daly,21,Midfielder,Huddersfield Town,73,0,0,0.0,1.23,37,-1,-1,-1
Max Harrison Sanders,23,Midfielder,Brighton & Hove Albion,0,0,0,0.0,0.0,0,-1,-1,-1
Max Kilman,25,Defender,Wolverhampton Wanderers,0,0,0,0.0,0.0,0,-1,-1,-1
Max Meyer,27,Midfielder,Crystal Palace,1414,1,2,0.19,1.21,49,209,110,-1
Maxime Le Marchand,33,Defender,Fulham,2251,0,1,0.2,2.0,87,314,219,162
Maya Yoshida,34,Defender,Southampton,1520,0,1,0.0,1.6,89,308,192,133
Mesut Özil,34,Midfielder,Arsenal,1741,5,2,0.1,1.19,73,73,151,-1
Michael Keane,29,Defender,Everton,2970,1,2,0.06,1.12,90,251,196,49
Michael Obafemi,22,Forward,Southampton,134,1,1,0.67,1.34,22,-1,-1,-1
Michail Antonio,32,Midfielder,West Ham United,2099,6,4,0.13,1.11,64,77,85,-1
Michel Vorm,39,Goalkeeper,Tottenham Hotspur,180,0,0,0.0,2.0,90,-1,-1,-1
Michy Batshuayi,29,Forward,Crystal Palace,756,5,0,0.0,1.31,69,8,307,-1
Miguel Almirón,28,Midfielder,Newcastle United,763,0,0,0.0,1.18,76,282,311,-1
Miguel Ángel Britos Cabrera,37,Defender,Watford,185,0,0,0.0,2.43,62,-1,-1,-1
Mohamed Diamé,35,Midfielder,Newcastle United,2165,0,0,0.12,1.16,75,348,267,-1
Mohamed Elneny,30,Midfielder,Arsenal,381,0,0,0.0,0.94,48,388,409,-1
Mohamed Elyounoussi,28,Midfielder,Southampton,790,0,0,0.0,0.91,49,375,368,-1
Mohamed Salah,30,Forward,Liverpool,3262,22,8,0.03,0.5,86,7,57,-1
Morgan Gibbs-White,22,Midfielder,Wolverhampton Wanderers,647,0,1,0.14,1.25,25,408,107,-1
Morgan Schneiderlin,32,Midfielder,Everton,833,0,1,0.22,0.97,60,412,138,-1
Moussa Dembele,35,Midfielder,Tottenham Hotspur,516,0,0,0.17,0.87,52,355,277,-1
Moussa Sissoko,33,Midfielder,Tottenham Hotspur,2336,0,3,0.08,1.0,81,354,131,-1
N'Golo Kanté,31,Midfielder,Chelsea,3096,4,4,0.09,1.08,86,141,126,-1
Naby Keïta,27,Midfielder,Liverpool,1392,2,1,0.0,0.45,56,138,190,-1
Nacho Monreal,36,Defender,Arsenal,1861,1,3,0.24,1.02,85,222,98,37
Nampalys Mendy,30,Midfielder,Leicester City,2088,0,0,0.22,1.12,67,271,397,-1
Nathan Aké,27,Defender,AFC Bournemouth,3412,4,0,0.08,1.74,90,150,337,148
Nathan Holland,24,Midfielder,West Ham United,0,0,0,0.0,0.0,0,-1,-1,-1
Nathan Redmond,28,Midfielder,Southampton,3276,6,4,0.08,1.46,86,116,137,-1
Nathaniel Chalobah,27,Midfielder,Watford,266,0,0,0.68,1.69,30,-1,-1,-1
Nathaniel Clyne,31,Defender,AFC Bournemouth,1254,0,1,0.14,1.72,70,392,180,146
Nathaniel Mendez-Laing,30,Midfielder,Cardiff City,984,4,1,0.0,1.37,49,46,159,-1
Neeskens Kebano,30,Midfielder,Fulham,103,0,0,0.0,0.87,15,-1,-1,-1
Neil Leonard Dula Etheridge,32,Goalkeeper,Cardiff City,3420,0,0,0.05,1.61,90,363,392,134
Nemanja Matić,34,Midfielder,Manchester United,2441,1,0,0.29,1.29,87,239,257,-1
Nicolas Otamendi,34,Defender,Manchester City,1233,0,0,0.07,0.51,69,273,385,4
Nikola Tavares,23,Defender,Crystal Palace,0,0,0,0.0,0.0,0,-1,-1,-1
Nnamdi Ofoborh,22,Midfielder,AFC Bournemouth,0,0,0,0.0,0.0,0,-1,-1,-1
Oleksandr Zinchenko,25,Midfielder,Manchester City,1153,0,3,0.08,0.31,82,284,50,-1
Oliver Skipp,22,Midfielder,Tottenham Hotspur,216,0,0,0.0,0.0,27,-1,-1,-1
Olivier Giroud,36,Forward,Chelsea,832,2,4,0.11,0.43,31,86,7,-1
Oriol Romeu,31,Midfielder,Southampton,2140,1,0,0.46,1.35,69,244,371,-1
Oumar Niasse,32,Forward,Cardiff City,998,0,0,0.0,1.08,55,415,388,-1
Pablo Zabaleta,37,Defender,West Ham United,2092,0,1,0.17,1.38,80,370,223,99
Pape N'Diaye Souaré,32,Defender,Crystal Palace,0,0,0,0.0,0.0,0,-1,-1,-1
Pascal Groß,31,Midfielder,Brighton & Hove Albion,1878,3,3,0.05,1.49,75,126,104,-1
Patrick van Aanholt,32,Defender,Crystal Palace,3198,3,2,0.08,1.15,89,184,199,53
Paul Dummett,31,Defender,Newcastle United,1986,0,0,0.05,1.22,76,347,269,69
Paul Pogba,29,Midfielder,Manchester United,3011,13,9,0.18,1.23,86,37,30,-1
Paulo Gazzaniga,30,Goalkeeper,Tottenham Hotspur,270,0,0,0.0,0.33,90,-1,-1,-1
Pedro Obiang,30,Midfielder,West Ham United,1121,0,1,0.0,1.36,47,371,168,-1
Pedro Rodriguez,35,Midfielder,Chelsea,1780,8,2,0.1,0.91,57,35,144,-1
Peter Crouch,41,Forward,Burnley,86,0,0,1.05,0.0,14,-1,-1,-1
Petr Čech,40,Goalkeeper,Arsenal,585,0,0,0.0,1.23,84,384,377,71
Phil Bardsley,37,Defender,Burnley,1672,0,0,0.48,1.18,88,383,355,62
Phil Foden,22,Midfielder,Manchester City,327,1,0,0.0,0.0,25,67,386,-1
Phil Jagielka,40,Defender,Everton,329,1,0,0.55,0.55,47,71,272,9
Phil Jones,30,Defender,Manchester United,1263,0,1,0.07,1.14,70,299,189,51
Philip Billing,26,Midfielder,Huddersfield Town,2192,2,0,0.29,1.68,81,185,372,-1
Philippe Sandler,25,Defender,Manchester City,0,0,0,0.0,0.0,0,-1,-1,-1
Pierre-Emerick Aubameyang,33,Forward,Arsenal,2731,22,5,0.0,1.32,76,3,88,-1
Pierre-Emile Højbjerg,27,Midfielder,Southampton,2764,4,3,0.36,1.69,89,136,148,-1
Rachid Ghezzal,30,Forward,Leicester City,738,1,0,0.37,1.46,39,140,322,-1
Rafael Euclides Soares Camacho,22,Midfielder,Liverpool,0,0,0,0.0,0.0,0,-1,-1,-1
Raheem Sterling,27,Forward,Manchester City,2777,17,10,0.1,0.62,82,12,14,-1
Rajiv van La Parra,31,Midfielder,Huddersfield Town,407,0,0,0.0,1.33,81,335,396,-1
Ramadan Sobhi,25,Forward,Huddersfield Town,75,0,0,0.0,1.2,19,-1,-1,-1
Raúl Jiménez,31,Forward,Wolverhampton Wanderers,3124,13,7,0.12,1.12,82,42,63,-1
Rhys Healey,27,Forward,Cardiff City,49,0,0,0.0,1.84,16,-1,-1,-1
Ricardo Pereira,29,Defender,Leicester City,3125,2,6,0.2,1.15,89,214,84,52
Richarlison,25,Forward,Everton,2679,13,1,0.24,1.08,77,28,250,-1
Riyad Mahrez,31,Midfielder,Manchester City,1339,7,4,0.0,0.6,50,22,32,-1
Rob Holding,27,Defender,Arsenal,807,0,0,0.11,1.12,81,389,411,47
Robbie Brady,30,Midfielder,Burnley,715,0,1,0.63,1.51,45,268,108,-1
Robert Kenedy Nunes do Nascimento,26,Midfielder,Newcastle United,1344,1,1,0.07,1.14,54,193,184,-1
Robert Snodgrass,35,Midfielder,West Ham United,2222,2,5,0.41,1.26,67,188,64,-1
Roberto Firmino,31,Forward,Liverpool,2620,12,6,0.0,0.45,77,32,62,-1
Roberto Pereyra,31,Forward,Watford,2825,6,1,0.1,1.66,86,97,251,-1
Romain Saïss,32,Midfielder,Wolverhampton Wanderers,1144,2,0,0.55,1.26,60,115,264,-1
Romelu Lukaku,29,Forward,Manchester United,2130,12,0,0.17,1.52,67,16,305,-1
Rondon,33,Forward,Newcastle United,2609,11,7,0.03,1.0,82,40,43,-1
Ross Barkley,28,Midfielder,Chelsea,1241,3,5,0.07,0.94,46,84,12,-1
Ruben Loftus-Cheek,26,Midfielder,Chelsea,983,6,2,0.0,0.73,41,11,83,-1
Rúben Neves,25,Midfielder,Wolverhampton Wanderers,3009,4,3,0.24,1.2,86,145,162,-1
Ruben Vinagre,23,Defender,Wolverhampton Wanderers,703,0,0,0.13,1.15,41,406,323,54
Rui Patrício,34,Goalkeeper,Wolverhampton Wanderers,3330,0,0,0.0,1.16,90,405,328,56
Ryan Bennett,32,Defender,Wolverhampton Wanderers,3060,1,0,0.35,1.06,90,256,304,40
Ryan Bertrand,33,Defender,Southampton,2160,1,0,0.33,1.5,90,245,366,117
Ryan Fraser,28,Midfielder,AFC Bournemouth,3173,7,14,0.06,1.73,84,95,9,-1
Ryan Fredericks,30,Midfielder,West Ham United,1085,1,0,0.41,1.08,72,189,340,-1
Ryan Giles,22,Midfielder,Wolverhampton Wanderers,0,0,0,0.0,0.0,0,-1,-1,-1
Ryan Guno Babel,35,Forward,Fulham,1260,5,3,0.21,1.71,79,47,61,-1
Ryan Schofield,22,Goalkeeper,Huddersfield Town,0,0,0,0.0,0.0,0,-1,-1,-1
Ryan Sessegnon,22,Defender,Fulham,2298,2,6,0.0,2.27,66,182,53,168
Sadio Mané,30,Forward,Liverpool,3086,22,1,0.06,0.52,86,4,249,-1
Sam Gallagher,27,Forward,Southampton,30,0,0,0.0,0.0,8,-1,-1,-1
Sam Surridge,24,Forward,AFC Bournemouth,11,0,0,0.0,0.0,6,-1,-1,-1
Sam Vokes,33,Forward,Burnley,913,3,0,0.0,1.77,46,64,351,-1
Sam Woods,24,Defender,Crystal Palace,0,0,0,0.0,0.0,0,-1,-1,-1
Samir Nasri,35,Midfielder,West Ham United,246,0,2,0.0,0.73,49,-1,-1,-1
Sandro Ramirez,27,Forward,Everton,0,0,0,0.0,0.0,0,-1,-1,-1
Scott Dann,35,Defender,Crystal Palace,660,0,1,0.14,0.95,66,276,101,24
Scott McTominay,25,Midfielder,Manchester United,861,2,0,0.1,1.78,54,91,303,-1
Sead Kolašinac,29,Defender,Arsenal,1891,0,5,0.24,1.24,79,285,45,75
Séamus Coleman,34,Defender,Everton,2560,2,2,0.04,1.02,88,197,178,34
Sean Longstaff,25,Midfielder,Newcastle United,688,1,0,0.26,1.05,76,135,263,-1
Sean Morrison,31,Defender,Cardiff City,3040,1,3,0.18,1.69,89,255,164,140
Sebastian Prödl,35,Defender,Watford,13,0,0,0.0,0.0,13,-1,-1,-1
Serge Aurier,29,Defender,Tottenham Hotspur,564,0,2,0.16,1.44,71,351,15,108
Sergio Aguero,34,Forward,Manchester City,2480,21,8,0.11,0.54,75,1,28,-1
Sergio Rico,29,Goalkeeper,Fulham,2610,0,0,0.03,1.83,90,320,406,153
Sergio Romero,35,Goalkeeper,Manchester United,0,0,0,0.0,0.0,0,-1,-1,-1
Shane Duffy,30,Defender,Brighton & Hove Albion,3088,5,1,0.17,1.49,88,123,253,115
Shane Long,35,Forward,Southampton,1269,5,1,0.21,1.42,49,51,182,-1
Shinji Okazaki,36,Forward,Leicester City,269,0,1,0.0,0.33,13,-1,-1,-1
Shkodran Mustafi,30,Defender,Arsenal,2617,2,0,0.31,1.24,84,201,378,74
Simon Francis,37,Defender,AFC Bournemouth,1226,0,2,0.07,1.69,72,360,99,138
Simon Mignolet,34,Goalkeeper,Liverpool,0,0,0,0.0,0.0,0,-1,-1,-1
Sokratis Papastathopoulos,34,Defender,Arsenal,2199,1,2,0.49,1.27,88,234,173,82
Solly March,28,Midfielder,Brighton & Hove Albion,2473,1,5,0.04,1.42,71,242,82,-1
Souleymane Bamba,37,Defender,Cardiff City,2475,4,1,0.25,1.67,88,118,222,136
Stefan Marius Johansen,31,Midfielder,Fulham,412,0,0,0.87,2.4,34,318,401,-1
Stefano Okaka,33,Forward,Watford,22,0,0,4.09,4.09,11,-1,-1,-1
Stephan Lichtsteiner,38,Defender,Arsenal,940,0,0,0.29,1.72,67,387,407,147
Stephen Ward,37,Defender,Burnley,230,0,0,0.39,2.35,77,-1,-1,-1
Steve Cook,31,Defender,AFC Bournemouth,2787,1,1,0.1,1.71,90,254,243,145
Steve Mounié,28,Forward,Huddersfield Town,1777,2,3,0.15,1.72,57,168,90,-1
Steven Davis,37,Midfielder,Southampton,96,0,1,0.0,2.81,32,-1,-1,-1
Steven Defour,34,Midfielder,Burnley,452,0,0,0.0,2.39,75,264,321,-1
Stuart Armstrong,30,Midfielder,Southampton,1432,3,2,0.13,1.45,49,98,114,-1
Sullay Kaikai,27,Midfielder,Crystal Palace,0,0,0,0.0,0.0,0,-1,-1,-1
Tahith Chong,22,Forward,Manchester United,36,0,0,0.0,2.5,18,-1,-1,-1
Terence Kongolo,28,Defender,Huddersfield Town,2722,1,1,0.13,2.05,85,261,236,165
Theo Walcott,33,Forward,Everton,2122,5,2,0.04,1.4,57,90,170,-1
Tim Ream,35,Defender,Fulham,2051,0,0,0.04,2.06,79,265,320,167
Timothy Eyoma,22,Defender,Tottenham Hotspur,0,0,0,0.0,0.0,0,-1,-1,-1
Timothy Fosu-Mensah,24,Defender,Fulham,795,0,0,0.34,2.04,66,319,408,164
Toby Alderweireld,33,Defender,Tottenham Hotspur,2924,0,0,0.09,0.86,86,356,275,20
Tom Cairney,31,Midfielder,Fulham,2198,1,1,0.0,2.01,71,238,217,-1
Tom Cleverley,33,Midfielder,Watford,470,1,0,0.38,1.34,36,99,298,-1
Tom Davies,24,Midfielder,Everton,975,0,0,0.28,1.66,61,416,380,-1
Tom Heaton,36,Goalkeeper,Burnley,1710,0,0,0.16,1.21,90,382,354,68
Tom Smith,30,Defender,Huddersfield Town,1141,0,0,0.32,2.68,76,334,360,173
Trent Alexander-Arnold,24,Defender,Liverpool,2467,1,12,0.11,0.51,85,233,6,6
Troy Deeney,34,Forward,Watford,2548,9,5,0.21,1.52,80,57,81,-1
Tyias Browning,28,Defender,Everton,0,0,0,0.0,0.0,0,-1,-1,-1
Tyreke Johnson,24,Defender,Southampton,0,0,0,0.0,0.0,0,-1,-1,-1
Tyrone Mings,29,Defender,AFC Bournemouth,141,0,0,0.0,2.55,28,-1,-1,-1
Vicente Guaita,35,Goalkeeper,Crystal Palace,1755,0,0,0.1,1.08,88,325,352,45
Vicente Iborra De La Fuente,34,Midfielder,Leicester City,226,0,0,0.0,1.59,28,-1,-1,-1
Víctor Camarasa,28,Midfielder,Cardiff City,2579,5,4,0.21,1.68,81,111,106,-1
Victor Lindelöf,28,Defender,Manchester United,2602,1,1,0.03,1.31,87,263,246,88
Victor Moses,31,Midfielder,Chelsea,26,0,0,0.0,3.46,13,-1,-1,-1
Victor Wanyama,31,Midfielder,Tottenham Hotspur,509,1,0,0.35,0.53,39,106,266,-1
Viktor Gyökeres,24,Forward,Brighton & Hove Albion,0,0,0,0.0,0.0,0,-1,-1,-1
Vincent Janssen,28,Forward,Tottenham Hotspur,36,0,0,0.0,0.0,12,-1,-1,-1
Vincent Kompany,36,Defender,Manchester City,1223,1,0,0.44,0.52,72,194,384,7
Virgil van Dijk,31,Defender,Liverpool,3385,4,2,0.03,0.51,89,152,201,5
Wayne Hennessey,35,Goalkeeper,Crystal Palace,1575,0,0,0.0,1.31,88,321,404,87
Wes Morgan,38,Defender,Leicester City,1926,3,0,0.23,1.12,88,125,300,48
Wesley Hoedt,28,Defender,Southampton,1170,0,0,0.15,1.54,90,374,370,123
Wilfred Ndidi,25,Midfielder,Leicester City,3299,2,0,0.22,1.15,87,218,332,-1
Wilfried Zaha,29,Midfielder,Crystal Palace,3041,10,5,0.3,1.33,89,63,92,-1
Will Hughes,27,Midfielder,Watford,2436,2,4,0.18,1.44,76,199,91,-1
Will Norris,29,Goalkeeper,Wolverhampton Wanderers,0,0,0,0.0,0.0,0,-1,-1,-1
Willian,34,Forward,Chelsea,2108,3,6,0.09,0.98,66,132,36,-1
Willy Boly,31,Defender,Wolverhampton Wanderers,3169,4,0,0.11,1.08,88,148,312,43
Willy Caballero,41,Goalkeeper,Chelsea,180,0,0,0.0,0.0,90,-1,-1,-1
Xherdan Shaqiri,31,Midfielder,Liverpool,1058,6,3,0.17,0.43,44,15,39,-1
Yan Valery,23,Defender,Southampton,1715,2,1,0.26,1.36,75,162,214,95
Yerry Mina,28,Defender,Everton,890,1,0,0.3,1.21,68,161,329,67
Yoshinori Muto,30,Forward,Newcastle United,516,1,0,0.17,1.74,30,113,290,-1
Youri Tielemans,25,Midfielder,Leicester City,1092,3,4,0.16,1.07,84,80,13,-1
Yves Bissouma,26,Midfielder,Brighton & Hove Albion,1769,0,0,0.25,1.53,63,402,293,-1
Zechariah Medley,22,Defender,Arsenal,0,0,0,0.0,0.0,0,-1,-1,-1
Zeze  Steven Sessegnon,22,Defender,Fulham,0,0,0,0.0,0.0,0,-1,-1,-1
Łukasz Fabiański,37,Goalkeeper,West Ham United,3420,0,0,0.0,1.26,90,391,343,81
